,DPSGD,DPSGD-KFGrad
0,0.628,0.636
1,0.675,0.68
2,0.699,0.711
3,0.727,0.732
4,0.738,0.746
5,0.75,0.753
6,0.752,0.754
7,0.752,0.759
8,0.758,0.761
9,0.763,0.762
10,0.762,0.758
11,0.765,0.753
12,0.754,0.752
13,0.752,0.751
14,0.752,0.749
15,0.751,0.746
16,0.75,0.747
17,0.748,0.745
18,0.746,0.747
19,0.745,0.748
20,0.745,0.747
21,0.747,0.745
22,0.748,0.746
23,0.747,0.744
24,0.747,0.746
25,0.746,0.746
26,0.746,0.746
27,0.746,0.746
28,0.745,0.745
29,0.745,0.744
30,0.745,0.744
31,0.743,0.743
32,0.743,0.743
33,0.743,0.743
34,0.743,0.743
35,0.744,0.743
36,0.743,0.743
37,0.742,0.743
38,0.742,0.742
39,0.743,0.743
40,0.744,0.745
41,0.745,0.745
42,0.746,0.745
43,0.746,0.745
44,0.745,0.744
45,0.744,0.745
46,0.745,0.745
47,0.745,0.745
48,0.744,0.745
49,0.744,0.745
