,ACC,ACC_KF
0,0.7198,0.762
1,0.7924,0.8291
2,0.8297,0.8574
3,0.8498,0.8725
4,0.8624,0.8801
5,0.8721,0.8866
6,0.8782,0.8925
7,0.8832,0.8975
8,0.8867,0.9016
9,0.8916,0.9043
10,0.8947,0.9072
11,0.8969,0.9075
12,0.9005,0.9091
13,0.9017,0.9102
14,0.9031,0.9114
15,0.9044,0.9151
16,0.9059,0.9155
17,0.9062,0.9163
18,0.9079,0.9177
19,0.9096,0.9197
20,0.9114,0.9204
21,0.912,0.9214
22,0.9136,0.9221
23,0.9143,0.923
24,0.9154,0.924
25,0.9162,0.925
26,0.9171,0.9258
27,0.9184,0.9271
28,0.9189,0.9276
29,0.9196,0.9284
30,0.92,0.9291
31,0.9212,0.9293
32,0.9216,0.9304
33,0.9221,0.9306
34,0.9225,0.9313
35,0.9233,0.9317
36,0.9241,0.9324
37,0.9239,0.9331
38,0.9248,0.933
39,0.9259,0.9337
40,0.9258,0.9349
41,0.9266,0.9352
42,0.9265,0.935
43,0.927,0.9354
44,0.9272,0.9364
45,0.9281,0.9378
46,0.9289,0.9377
47,0.9288,0.9387
48,0.9302,0.9389
49,0.9307,0.9397
50,0.9309,0.9411
51,0.931,0.9411
52,0.9318,0.9409
53,0.9321,0.9416
54,0.9319,0.9411
55,0.9327,0.9428
56,0.9329,0.9422
57,0.9334,0.943
58,0.9341,0.9435
59,0.9351,0.9443
60,0.9351,0.9448
61,0.9351,0.9451
62,0.9356,0.9457
63,0.9359,0.9466
64,0.936,0.9464
65,0.9359,0.9471
66,0.937,0.9471
67,0.9374,0.9473
68,0.9374,0.9481
69,0.9377,0.9482
70,0.9381,0.9482
71,0.9391,0.9488
72,0.94,0.9483
73,0.9392,0.949
74,0.9397,0.9491
75,0.9404,0.9499
76,0.9408,0.9501
77,0.9411,0.9506
78,0.9416,0.9507
79,0.9415,0.9515
80,0.942,0.9516
81,0.9427,0.951
82,0.943,0.9519
83,0.9429,0.9521
84,0.9429,0.9522
85,0.943,0.9526
86,0.9436,0.9529
87,0.9435,0.9531
88,0.9443,0.9536
89,0.9449,0.9541
90,0.9451,0.9544
91,0.9448,0.9541
92,0.9452,0.9544
93,0.9455,0.9549
94,0.9462,0.9557
95,0.9464,0.9555
96,0.9472,0.9549
97,0.947,0.9554
98,0.9469,0.9553
99,0.9469,0.9561
